Region, Date, Frequency, Estimated Unemployment Rate (%), Estimated Employed, Estimated Labour Participation Rate (%),Area,Region.1
Punjab,2020-09-30,Monthly,9.61,8980432.0,39.5,,North
Punjab,2020-10-31,Monthly,9.88,8800430.0,38.75,,North
Rajasthan,2020-01-31,Monthly,10.97,20641716.0,40.51,,North
Rajasthan,2020-02-29,Monthly,15.16,20328915.0,41.77,,North
Rajasthan,2020-03-31,Monthly,11.9,20024680.0,39.54,,North
Rajasthan,2020-04-30,Monthly,17.7,15984142.0,33.71,,North
Rajasthan,2020-05-31,Monthly,15.74,19826602.0,40.74,,North
Rajasthan,2020-06-30,Monthly,14.39,20506612.0,41.38,,North
Rajasthan,2020-07-31,Monthly,15.81,19932393.0,40.8,,North
Rajasthan,2020-08-31,Monthly,17.51,20014060.0,41.71,,North
Rajasthan,2020-09-30,Monthly,15.35,20149594.0,40.83,,North
Rajasthan,2020-10-31,Monthly,24.15,19908808.0,44.92,,North
Sikkim,2020-03-31,Monthly,23.57,262895.0,60.59,,Northeast
Sikkim,2020-04-30,Monthly,2.28,215303.0,38.7,,Northeast
Sikkim,2020-05-31,Monthly,24.51,193427.0,44.88,,Northeast
Sikkim,2020-06-30,Monthly,4.46,221058.0,40.4,,Northeast
Sikkim,2020-07-31,Monthly,4.45,265175.0,48.32,,Northeast
Sikkim,2020-08-31,Monthly,12.49,244462.0,48.49,,Northeast
Sikkim,2020-09-30,Monthly,5.7,231798.0,42.54,,Northeast
Sikkim,2020-10-31,Monthly,0.88,242068.0,42.13,,Northeast
Tamil Nadu,2020-01-31,Monthly,1.57,26881641.0,41.96,,South
Tamil Nadu,2020-02-29,Monthly,2.09,27570589.0,43.2,,South
Tamil Nadu,2020-03-31,Monthly,6.4,26830768.0,43.91,,South
Tamil Nadu,2020-04-30,Monthly,49.83,9719167.0,29.63,,South
Tamil Nadu,2020-05-31,Monthly,33.16,11483256.0,26.23,,South
Tamil Nadu,2020-06-30,Monthly,12.2,19096847.0,33.16,,South
Tamil Nadu,2020-07-31,Monthly,6.81,24572827.0,40.13,,South
Tamil Nadu,2020-08-31,Monthly,2.65,27046415.0,42.22,,South
Tamil Nadu,2020-09-30,Monthly,5.0,23025845.0,36.77,,South
Tamil Nadu,2020-10-31,Monthly,2.16,23651626.0,36.62,,South
Telangana,2020-01-31,Monthly,5.49,17609295.0,59.25,,South
Telangana,2020-02-29,Monthly,8.29,16825970.0,58.24,,South
Telangana,2020-03-31,Monthly,5.77,17341613.0,58.31,,South
Telangana,2020-04-30,Monthly,6.25,12172230.0,41.06,,South
Telangana,2020-05-31,Monthly,14.7,14977774.0,55.43,,South
Telangana,2020-06-30,Monthly,10.55,15108910.0,53.22,,South
Telangana,2020-07-31,Monthly,5.36,15679417.0,52.1,,South
Telangana,2020-08-31,Monthly,5.79,18185429.0,60.59,,South
Telangana,2020-09-30,Monthly,3.27,16961448.0,54.94,,South
Telangana,2020-10-31,Monthly,2.86,17578739.0,56.58,,South
Tripura,2020-01-31,Monthly,32.67,1508130.0,69.69,,Northeast
Tripura,2020-02-29,Monthly,28.4,1584686.0,68.74,,Northeast
Tripura,2020-03-31,Monthly,29.95,1511217.0,66.89,,Northeast
Tripura,2020-04-30,Monthly,41.23,971514.0,51.16,,Northeast
Tripura,2020-05-31,Monthly,21.51,1290986.0,50.81,,Northeast
Tripura,2020-06-30,Monthly,21.71,1494140.0,58.85,,Northeast
Tripura,2020-07-31,Monthly,18.24,1348849.0,50.78,,Northeast
Tripura,2020-08-31,Monthly,27.92,1318621.0,56.21,,Northeast
Tripura,2020-09-30,Monthly,17.35,1368244.0,50.77,,Northeast
Tripura,2020-10-31,Monthly,11.57,1576529.0,54.58,,Northeast
Uttar Pradesh,2020-01-31,Monthly,7.58,59433759.0,39.63,,North
Uttar Pradesh,2020-02-29,Monthly,8.98,58060531.0,39.23,,North
Uttar Pradesh,2020-03-31,Monthly,10.11,56976338.0,38.89,,North
Uttar Pradesh,2020-04-30,Monthly,21.54,50915056.0,39.73,,North
Uttar Pradesh,2020-05-31,Monthly,20.41,49801902.0,38.22,,North
Uttar Pradesh,2020-06-30,Monthly,9.47,55380649.0,37.29,,North
Uttar Pradesh,2020-07-31,Monthly,5.56,56201654.0,36.19,,North
Uttar Pradesh,2020-08-31,Monthly,5.79,55831744.0,35.96,,North
Uttar Pradesh,2020-09-30,Monthly,4.18,56106836.0,35.45,,North
Uttar Pradesh,2020-10-31,Monthly,3.75,56539521.0,35.49,,North
Uttarakhand,2020-01-31,Monthly,5.49,2711639.0,32.99,,North
Uttarakhand,2020-02-29,Monthly,4.99,3020931.0,36.48,,North
Uttarakhand,2020-03-31,Monthly,19.85,2539302.0,36.27,,North
Uttarakhand,2020-04-30,Monthly,6.48,2720115.0,33.23,,North
Uttarakhand,2020-05-31,Monthly,8.01,2694072.0,33.38,,North
Uttarakhand,2020-06-30,Monthly,8.61,2656071.0,33.06,,North
Uttarakhand,2020-07-31,Monthly,12.38,2938552.0,38.07,,North
Uttarakhand,2020-08-31,Monthly,14.26,2717528.0,35.9,,North
Uttarakhand,2020-09-30,Monthly,22.26,2695230.0,39.18,,North
Uttarakhand,2020-10-31,Monthly,9.23,2739309.0,34.03,,North
West Bengal,2020-01-31,Monthly,6.94,35820789.0,47.35,,East
West Bengal,2020-02-29,Monthly,4.92,36964178.0,47.74,,East
West Bengal,2020-03-31,Monthly,6.92,35903917.0,47.27,,East
West Bengal,2020-04-30,Monthly,17.41,26938836.0,39.9,,East
West Bengal,2020-05-31,Monthly,17.41,28356675.0,41.92,,East
West Bengal,2020-06-30,Monthly,7.29,30726310.0,40.39,,East
West Bengal,2020-07-31,Monthly,6.83,35372506.0,46.17,,East
West Bengal,2020-08-31,Monthly,14.87,33298644.0,47.48,,East
West Bengal,2020-09-30,Monthly,9.35,35707239.0,47.73,,East
West Bengal,2020-10-31,Monthly,9.98,33962549.0,45.63,,East
